t_sec,ABack_x,ABack_y,ABack_z
564.01,0.359863,-1.002441,0.453125
564.02,0.020996,-0.770508,0.165039
564.03,-0.200684,-0.523438,-0.172363
564.04,-0.353516,-0.313965,-0.242188
564.05,-0.536621,0.03125,-0.124512
564.06,-0.648926,0.471191,0.174316
564.07,-0.831543,0.834473,0.528809
564.08,-1.103027,1.081543,0.890137
564.09,-1.239746,1.275391,1.171387
564.1,-1.024414,1.000977,1.062012
564.11,-0.686035,0.541016,1.121582
564.12,-0.449707,0.035645,1.399902
564.13,-0.394531,-0.292969,1.738281
564.14,-0.063477,-0.416992,1.861816
564.15,0.355957,-0.394531,1.703125
564.16,0.525879,-0.487305,1.8125
564.17,0.639648,-0.525391,1.609863
564.18,0.658203,-0.645508,1.251953
564.19,0.768555,-0.771973,0.959961
564.2,0.773438,-0.83252,0.698242
564.21,0.745117,-0.707031,0.476074
564.22,0.687988,-0.479492,0.157715
564.23,0.55957,-0.245605,-0.094727
564.24,0.503418,-0.032715,-0.219238
564.25,0.407227,0.278809,-0.092285
564.26,0.272949,0.60498,0.054688
564.27,0.100098,0.928223,0.307617
564.28,0.011719,1.162109,0.445313
564.29,0.028809,1.202148,0.641113
564.3,0.046387,1.111816,0.980469
564.31,0.166992,0.965332,1.11084
564.32,0.445801,0.666504,1.323242
564.33,0.80957,0.401855,1.684082
564.34,0.884277,0.158203,1.984375
564.35,0.750488,0.044922,2.092285
564.36,0.663086,-0.068359,1.98584
564.37,0.827148,-0.397461,1.865234
564.38,1.074707,-0.758301,1.675781
564.39,1.006348,-1.083008,1.375
564.4,0.758301,-1.213379,1.053711
564.41,0.538574,-1.202148,0.749023
564.42,0.280762,-1.018066,0.241211
564.43,0.068848,-0.696777,0.003906
564.44,-0.105469,-0.349609,-0.166992
564.45,-0.311523,-0.010742,-0.282715
564.46,-0.584473,0.414063,-0.185059
564.47,-0.681152,0.732422,-0.047852
564.48,-0.842285,1.025391,0.28125
564.49,-1.064453,1.13623,0.61377
564.5,-1.227539,1.055664,1.164063
564.51,-1.020508,0.840332,1.189941
564.52,-0.852539,0.391602,1.328125
564.53,-0.705078,-0.178711,1.529785
564.54,-0.520996,-0.408203,1.700195
564.55,-0.204102,-0.476074,1.848633
564.56,0.153809,-0.472168,1.884277
564.57,0.319336,-0.415527,1.844238
564.58,0.419922,-0.490723,1.683105
564.59,0.523438,-0.55127,1.42627
564.6,0.664551,-0.820801,1.169434
564.61,0.730469,-0.875,0.755859
564.62,0.82373,-0.772461,0.533203
564.63,0.760254,-0.574707,0.249512
564.64,0.593262,-0.346191,0.026855
564.65,0.587891,-0.146484,-0.148926
564.66,0.57666,0.163574,-0.039551
564.67,0.407227,0.528809,0.063477
564.68,0.153809,0.768066,0.140625
564.69,-0.08252,0.950684,0.271973
564.7,-0.131348,1.111328,0.436523
564.71,-0.098633,1.277344,0.901855
564.72,-0.157715,1.270508,1.039551
564.73,0.095703,1.108887,1.030273
564.74,0.461914,0.741211,1.26123
564.75,0.76123,0.352539,1.826172
564.76,0.805176,-0.085449,2.116699
564.77,0.674805,-0.268066,2.217773
564.78,0.649414,-0.328125,2.021484
564.79,0.822754,-0.563965,1.805664
564.8,0.995605,-0.807617,1.569336
564.81,0.832031,-1.008789,1.23291
564.82,0.591309,-1.04248,0.90918
564.83,0.426758,-0.917969,0.600098
564.84,0.17627,-0.822754,0.15332
564.85,-0.057617,-0.574219,-0.067871
564.86,-0.244141,-0.291992,-0.178223
564.87,-0.453125,0.014648,-0.209961
564.88,-0.601563,0.345703,-0.118164
564.89,-0.614258,0.665527,0.040527
564.9,-0.759766,0.97168,0.309082
564.91,-0.976563,1.12793,0.783203
564.92,-1.054688,1.199219,1.307617
564.93,-0.822266,0.763184,1.158203
564.94,-0.708496,0.183105,1.475586
564.95,-0.529785,-0.285156,1.770996
564.96,-0.27832,-0.376465,1.976563
564.97,0.208984,-0.437988,1.958008
564.98,0.461426,-0.446777,1.999512
564.99,0.622559,-0.482422,1.949219
565.0,0.624512,-0.591797,1.538574
565.01,0.695801,-0.752441,1.308105
565.02,0.748535,-0.882324,0.841309
565.03,0.767578,-0.81543,0.552734
565.04,0.73291,-0.612793,0.349121
565.05,0.473633,-0.314941,0.130859
565.06,0.349121,-0.035156,-0.230957
565.07,0.348633,0.244141,-0.203613
565.08,0.222168,0.525879,-0.047363
565.09,0.052734,0.787598,0.105957
565.1,-0.068359,1.114746,0.299805
565.11,-0.068359,1.287109,0.439453
565.12,0.111328,1.163574,0.848633
565.13,0.39502,0.927246,1.071289
565.14,0.461426,0.677246,1.139648
565.15,0.619629,0.61084,1.288086
565.16,0.672363,0.530273,1.659668
565.17,0.629395,0.54248,1.957031
565.18,0.715332,0.359863,1.851563
565.19,0.846191,0.024902,1.945313
565.2,1.067871,-0.405273,1.818359
565.21,1.09668,-0.752441,1.487793
565.22,0.939941,-1.011719,1.116211
565.23,0.703613,-1.190918,0.89502
565.24,0.515625,-0.996582,0.575684
565.25,0.199707,-0.722656,0.285156
565.26,-0.111328,-0.539063,-0.121094
565.27,-0.315918,-0.268555,-0.279297
565.28,-0.54541,0.148926,-0.156738
565.29,-0.692871,0.498047,-0.0625
565.3,-0.769043,0.797852,0.123535
565.31,-0.924805,1.034668,0.54248
565.32,-1.179199,1.184082,1.236328
565.33,-1.035156,0.865723,1.211914
565.34,-0.71875,0.414551,1.116699
565.35,-0.556641,0.106445,1.539551
565.36,-0.397461,-0.045898,1.728516
565.37,-0.120117,-0.252441,1.836914
565.38,0.29541,-0.269043,1.861328
565.39,0.450195,-0.212402,1.736816
565.4,0.580566,-0.333496,1.613281
565.41,0.571289,-0.602539,1.279785
565.42,0.627441,-0.662109,1.072754
565.43,0.736328,-0.56543,0.807129
565.44,0.637207,-0.402344,0.533691
565.45,0.522949,-0.179688,0.333984
565.46,0.442383,-0.000488,0.15918
565.47,0.42627,0.155273,-0.006348
565.48,0.363281,0.297852,-0.047363
565.49,0.217285,0.436523,-0.029785
565.5,0.003906,0.685059,0.084961
565.51,-0.144531,0.902832,0.242188
565.52,-0.108887,0.949219,0.576172
565.53,0.09082,0.769043,0.842773
565.54,0.222656,0.557129,0.987793
565.55,0.396973,0.464355,1.231934
565.56,0.567871,0.539063,1.403809
565.57,0.576172,0.585449,1.639648
565.58,0.608887,0.487793,1.740234
565.59,0.672363,0.268066,1.841797
565.6,0.834961,-0.054199,1.856445
565.61,1.021484,-0.357422,1.644531
565.62,1.015625,-0.774414,1.45752
565.63,0.881836,-1.11084,1.307129
565.64,0.687012,-1.092773,1.077148
565.65,0.35791,-0.793457,0.691406
565.66,0.048828,-0.381348,0.417969
565.67,-0.164551,-0.138184,-0.046387
565.68,-0.389648,0.019043,-0.33252
565.69,-0.562988,0.254395,-0.166992
565.7,-0.668945,0.504395,0.09082
565.71,-0.8125,0.785156,0.308594
565.72,-1.031738,0.981445,0.827148
565.73,-1.186035,0.805664,1.187012
565.74,-0.942383,0.5,1.115723
565.75,-0.541016,0.133301,1.191895
565.76,-0.28418,0.005859,1.55127
565.77,-0.17041,-0.057617,1.704102
565.78,0.047852,-0.162598,1.702148
565.79,0.226074,-0.089844,1.626953
565.8,0.324707,-0.12793,1.611816
565.81,0.556641,-0.150879,1.48877
565.82,0.632813,-0.223145,1.377441
565.83,0.820313,-0.217285,1.134766
565.84,0.866699,-0.306152,1.049316
565.85,0.835449,-0.242676,0.874512
565.86,0.804688,-0.139648,0.665039
565.87,0.653809,-0.021973,0.344727
565.88,0.522949,0.225098,0.099609
565.89,0.405273,0.39502,-0.183105
565.9,0.233887,0.408203,-0.272461
565.91,0.106445,0.449219,-0.044922
565.92,0.01709,0.597656,0.23877
565.93,-0.084473,0.711914,0.283691
565.94,-0.115723,0.815918,0.387695
565.95,0.04834,0.774902,0.675781
565.96,0.152344,0.64502,1.096191
565.97,0.163086,0.439941,1.25293
565.98,0.458984,0.450195,1.355957
565.99,0.623047,0.399414,1.498047
566.0,0.49707,0.584961,1.691406
566.01,0.393555,0.868652,1.805664
566.02,0.463379,0.855957,1.746094
566.03,0.706055,0.313477,1.710938
566.04,0.983398,-0.243164,1.715332
566.05,1.201172,-0.61377,1.644531
566.06,1.211426,-0.882324,1.395996
566.07,1.046875,-0.919922,0.977051
566.08,0.800293,-0.71582,0.668457
566.09,0.458984,-0.404785,0.41748
566.1,0.117188,-0.120117,0.055176
566.11,-0.089844,0.042969,-0.359375
