t_sec,ABack_x,ABack_y,ABack_z
795.92,0.459473,-0.512207,0.663574
795.93,0.473145,-0.454102,0.319336
795.94,0.272949,-0.403809,0.154297
795.95,-0.055664,-0.29834,0.130859
795.96,-0.15625,-0.109863,0.118164
795.97,-0.022949,0.124512,0.283691
795.98,0.161133,0.244141,0.390625
795.99,0.231934,0.289063,0.328125
796.0,0.169434,0.321777,0.338867
796.01,0.138672,0.36377,0.519531
796.02,0.270508,0.316895,0.859863
796.03,0.466309,0.206543,1.038086
796.04,0.600098,0.192871,1.245117
796.05,0.643066,0.234375,1.421387
796.06,0.750488,0.124023,1.478027
796.07,0.769043,-0.217773,1.486816
796.08,0.586426,-0.528809,1.71875
796.09,0.247559,-0.631836,1.885742
796.1,-0.092285,-0.641113,1.759277
796.11,-0.321289,-0.683105,1.421387
796.12,-0.366211,-0.696777,1.375488
796.13,-0.375977,-0.674316,1.259766
796.14,-0.426758,-0.592285,1.133789
796.15,-0.524902,-0.497559,0.878418
796.16,-0.5269466729534857,-0.5014563026565774,0.42123502102649596
796.17,-0.27050605841518616,-0.3872667851622337,0.21836217979968187
796.18,0.009505556616660249,-0.36602361768405217,0.11322011948325661
796.19,0.1511339233043279,-0.3679855356131958,0.1971449438466546
796.2,0.1354441217310744,-0.30455270507389864,0.39869303896874564
796.21,-0.0040329988466557,-0.17579168937288603,0.42380078831764995
796.22,-0.20120405266748267,0.05919502669931831,0.5512064491420032
796.23,-0.42317712861763634,0.4306454397217679,0.882703716711826
796.24,-0.6502612647802153,0.5228836242698915,0.9099664475400514
796.25,-0.7702038862721844,0.33397725940888895,0.9410604533339628
796.26,-0.8256042437473532,0.16818841348645097,1.114551466514713
796.27,-0.8347495760074335,-0.08884630061019544,1.2803038262231947
796.28,-0.806211750217533,-0.30401763110772,1.3990196067212675
796.29,-0.6473908166259952,-0.31215682885269325,1.2487732830906006
796.3,-0.5457334984654226,-0.13757928712760992,1.267874590304363
796.31,-0.5030421121786217,0.10637427256376042,1.308260931530284
796.32,-0.4720617362845483,0.28392039264619906,1.2376242805650854
796.33,-0.4066522898231475,0.3120746322684286,1.1468707981911617
796.34,-0.3998206103234102,0.22440431551714213,1.1392569349406858
796.35,-0.42106081699962866,0.011030572633267677,1.1017225148919572
796.36,-0.3567712169758747,-0.24793628264646617,0.9957131495151339
796.37,-0.19709686028123563,-0.4966979366509656,0.9635262354055844
796.38,-0.08627594914914341,-0.7288376076088482,1.1176903168564114
796.39,-0.09395881744345624,-0.8984792732347446,0.9800332605403371
809.17,0.155762,-0.50293,0.869141
809.18,-0.034668,-0.375977,0.608398
809.19,-0.171387,-0.275391,0.251953
809.2,-0.27002,-0.255859,0.130371
809.21,-0.282715,-0.266602,0.026855
809.22,-0.117676,-0.219727,-0.075684
809.23,0.06543,-0.067871,-0.123535
809.24,0.068359,0.083008,0.00293
809.25,-0.132324,0.246094,0.313477
809.26,-0.394043,0.398438,0.630859
809.27,-0.720215,0.55127,1.076172
809.28,-1.04834,0.51123,1.35498
809.29,-1.220703,0.228027,1.564941
809.3,-1.096191,0.038086,1.831055
809.31,-1.096191,0.038086,1.831055
809.32,-0.869141,-0.214355,2.043945
809.33,-0.999023,-0.568359,2.192871
809.34,-0.842773,-0.782227,2.124023
809.35,-0.498047,-0.904297,1.895508
809.36,-0.066895,-0.864746,1.745117
809.37,0.250488,-0.808594,1.643555
809.38,0.504883,-0.805176,1.537598
809.39,0.647461,-0.735352,1.413574
809.4,0.649902,-0.651855,1.045898
809.41,0.658203,-0.626465,0.644043
809.42,0.759766,-0.572754,0.509277
809.43,0.689941,-0.473633,0.307617
809.44,0.382813,-0.381348,0.084961
809.45,0.035645,-0.356934,0.075195
809.46,-0.155762,-0.217285,0.202148
809.47,-0.181641,0.001465,0.289063
809.48,-0.13916,0.214355,0.305664
809.49,-0.114258,0.379395,0.185547
809.5,-0.075684,0.421875,-0.004883
809.51,-0.066406,0.341797,-0.075195
809.52,0.001465,0.195801,0.144531
809.53,0.051758,-0.033691,0.428711
809.54,0.141602,-0.076172,0.971191
809.55,0.312012,0.053711,1.652344
809.56,0.443848,0.03418,2.059082
809.57,0.437012,-0.055176,2.060059
809.58,0.656738,-0.05127,2.001465
809.59,0.949707,-0.228027,1.774414
809.6,0.91748,-0.594238,1.892578
809.61,0.555176,-0.765137,1.765625
809.62,0.291992,-0.800781,1.550293
809.63,0.258789,-0.789063,1.442871
809.64,0.057617,-0.804688,1.085938
809.65,-0.02002,-0.747559,0.834473
809.66,-0.055176,-0.616699,0.603516
809.67,-0.115234,-0.476074,0.365723
809.68,-0.120605,-0.335938,0.167969
809.69,-0.03394916226304551,-0.2170880821645048,0.006011380265524502
809.7,0.157377008196503,-0.08156620322958114,0.08000908815741573
809.71,0.2660129433948052,0.18137564568842263,0.088764765065328
809.72,0.2121707560980856,0.44530847829866316,0.0797673226621327
809.73,0.016910244926087475,0.5652656796520845,0.1052700404924822
809.74,-0.25659137408509347,0.4443814285768485,0.18295466791388737
809.75,-0.42853276285186676,0.21064875180644904,0.3576492557695369
809.76,-0.4070721944697809,0.015698465451704835,0.6136331996132574
809.77,-0.36357225159723056,-0.16561259267907036,0.9544460093398854
809.78,-0.4542484756989922,-0.38410351988648994,1.1760457766011922
809.79,-0.4265327580411538,-0.4381495023777091,1.2566212864339867
809.8,-0.3073177334033966,-0.3172359679387043,1.555466225461053
809.81,-0.3333203610070301,-0.3021098236522126,1.916408283618743
809.82,-0.4718922011533852,-0.5549002568946602,1.8960677887665103
809.83,-0.38754217887792597,-0.7690241487188609,1.6969000355543795
809.84,-0.054521798624182646,-0.9009563027697793,1.4805423315651989
809.85,0.25415829927743677,-0.9060173900481219,1.234329173591443
809.86,0.46462065544381015,-0.733959545298758,1.193358903615292
809.87,0.599724295306697,-0.5075016336715846,1.1639415205450452
809.88,0.8669106914268163,-0.35947434879759854,1.0507322621360367
809.89,1.1972754698417307,-0.3264256884969878,0.7913131348635184
809.9,1.4093190869050747,-0.3512963418571606,0.4475872750045383
809.91,1.131779924393077,-0.43072289001855113,0.04458696851040203
809.92,0.6577142578043502,-0.4706339696963751,0.021131275681769396
809.93,0.203125,-0.445801,0.179688
809.94,0.01123,-0.266113,0.046387
809.95,-0.023926,0.006836,-0.227539
809.96,0.11377,0.350098,-0.030762
809.97,0.184082,0.587891,0.30957
809.98,0.170898,0.681152,0.466309
809.99,0.312012,1.018555,1.083496
810.0,0.597168,1.133789,1.606445
810.01,0.774414,0.540039,1.324707
810.02,0.919434,-0.181152,2.146484
810.03,0.966309,-0.807617,2.695313
810.04,0.682617,-0.930664,2.116211
810.05,0.235352,-0.797363,1.944824
810.06,-0.047852,-0.759766,1.851074
810.07,-0.203125,-0.801758,1.498535
810.08,-0.263672,-0.938965,1.136719
810.09,-0.192383,-0.964844,0.705078
810.1,-0.135742,-0.741699,0.320313
810.11,-0.176758,-0.452637,-0.026855
810.12,-0.200684,-0.203613,0.0
810.13,-0.081055,0.029785,0.345703
810.14,0.003906,0.124512,0.215332
810.15,0.208008,0.305176,-0.196777
810.16,0.299316,0.55127,-0.089844
810.17,0.080078,0.634766,0.299316
810.18,-0.189453,0.545898,0.341309
810.19,-0.291016,0.518066,0.51416
810.2,-0.421387,0.613281,1.193359
810.21,-0.648926,0.516602,1.526367
810.22,-0.782715,0.163574,1.704102
810.23,-0.787109,-0.271973,1.837891
810.24,-0.653809,-0.935547,2.407715
810.25,-0.415527,-1.544922,2.657227
810.26,-0.122559,-1.635742,2.697266
810.27,0.198242,-1.259277,2.162109
810.28,0.668457,-0.811523,1.550293
810.29,0.716309,-0.686035,0.98584
810.3,0.607422,-0.68457,0.944824
810.31,0.430176,-0.665039,0.459473
810.32,0.597656,-0.534668,0.231445
810.33,0.769043,-0.304688,0.095703
810.34,0.624512,-0.162598,-0.025879
810.35,0.073242,-0.067383,0.120117
810.36,-0.34082,0.141113,0.140625
810.37,-0.572754,0.358398,0.090332
810.38,-0.631348,0.533203,0.211426
810.39,-0.462402,0.606445,0.263672
810.4,-0.161133,0.518066,0.338867
810.41,0.047852,0.29541,0.317383
810.42,0.175293,0.057129,0.648438
810.43,0.297363,-0.23877,0.982422
810.44,0.714844,-0.075684,2.060059
810.45,0.98291,0.151367,2.533203
810.46,0.828613,-0.061035,2.18457
810.47,0.871582,-0.520996,2.404297
810.48,0.964844,-1.002441,2.33252
810.49,0.805664,-1.053223,1.703613
810.5,0.511719,-0.786133,1.358398
810.51,0.282227,-0.796875,0.984863
810.52,0.208984,-0.925293,0.634766
810.53,0.115234,-0.944824,0.486816
810.54,-0.055176,-0.744141,0.410645
810.55,-0.205566,-0.536621,0.137207
810.56,-0.169922,-0.170898,-0.09082
810.57,-0.09007440604938702,0.19553950707381434,-0.11751853032103021
810.58,-0.023048769286716703,0.5198425578912935,-0.2043442380583919
810.59,0.04742963912397197,0.8270763463874391,-0.2852459866690846
810.6,0.011399363712983446,0.9203608754002738,-0.1995152291637799
810.61,-0.16126194289964363,0.7080543206875619,0.18880788357130324
810.62,-0.3229093578942914,0.43859519409339864,0.5758828386412564
810.63,-0.555769406498299,0.20798736627320472,0.8427080022432701
810.64,-0.8957980900472888,0.21080341034053157,1.4500335803857047
810.65,-1.458544281684997,0.21446072767910201,1.8651807023217855
810.66,-1.8089201481329904,0.12615073688893919,1.4694879083478853
810.67,-1.815651812650745,-0.15035553570439875,1.4192655332662063
810.68,-1.941916629588087,-0.41014230403242513,1.9695906889407686
810.69,-1.6878935756051492,-0.6711081530497424,1.9934223776076585
810.7,-0.7814728415872078,-0.8034767854312886,1.6841210636324149
810.71,0.11279431233522758,-0.8356934941950028,1.3854584091605788
810.72,0.7091785854696366,-0.7807128258885566,1.0830056190335646
810.73,0.9723419458821192,-0.9027535692377237,1.0306927654704157
810.74,0.8119234152388923,-1.0120326328998388,0.6822035155486208
810.75,0.8223358132402142,-1.0100636582680438,0.16798858241122708
810.76,0.9901954278440945,-0.8538237562146286,0.15243218107319154
810.77,0.7720490809327012,-0.6142956807619679,-0.007072648414521626
810.78,0.21617287913205585,-0.3369339783227199,-0.13991733781989368
810.79,-0.07333984313433833,0.2265800200926189,-0.031307503760607536
810.8,-0.2050073131178783,0.8417006826211747,0.182305181076949
810.81,-0.22998,1.056641,0.240234
810.82,-0.112793,1.029297,0.116699
810.83,0.04834,0.854004,0.012207
810.84,0.090332,0.51416,0.003906
810.85,0.066895,0.166016,0.230469
810.86,0.179199,-0.155273,0.717773
810.87,0.508301,-0.138672,1.896973
810.88,0.842285,0.140137,2.828613
810.89,0.990234,0.100098,2.509766
810.9,1.324707,-0.24707,2.115723
810.91,1.60498,-0.581543,2.050781
810.92,1.237305,-0.936523,1.727051
810.93,0.714355,-0.907715,1.282715
810.94,0.463379,-0.757324,1.032715
810.95,0.231445,-0.717773,0.789063
810.96,-0.158203,-0.778809,0.650879
810.97,-0.518555,-0.777832,0.530273
810.98,-0.680664,-0.706543,0.149902
810.99,-0.503906,-0.5,-0.195313
811.0,-0.162109,-0.166992,-0.116211
811.01,-0.03125,0.175781,-0.026855
811.02,-0.12207,0.536133,-0.081543
811.03,-0.357422,0.956055,-0.218262
811.04,-0.606934,1.064941,-0.149902
811.05,-0.693359,0.75,0.089844
811.06,-0.567383,0.324707,0.451172
811.07,-0.571777,0.108398,1.350098
811.08,-0.951172,0.009277,2.269043
811.09,-1.431641,-0.195313,1.65625
811.1,-1.453125,-0.215332,1.944336
811.11,-1.433105,-0.377441,2.594238
811.12,-1.165039,-0.726074,2.584961
811.13,-0.508301,-1.003418,2.34375
811.14,-0.008789,-1.068848,1.863281
811.15,0.44873,-0.833496,1.285156
811.16,0.462891,-0.809082,0.95752
811.17,0.513184,-0.9375,0.60791
811.18,0.695313,-0.99707,0.491211
811.19,0.935547,-0.857422,0.300293
811.2,0.897461,-0.686035,0.000977
811.21,0.376465,-0.350098,0.003906
811.22,-0.098633,0.078125,-0.035156
811.23,-0.393555,0.562012,0.003418
811.24,-0.52002,0.874512,0.242188
811.25,-0.4375,1.061523,0.223633
811.26,-0.240234,1.009766,0.039551
811.27,-0.056641,0.653809,-0.091797
811.28,-0.027344,0.362793,0.153809
811.29,0.119141,0.088867,0.788086
811.3,0.478516,0.07666,1.983398
811.31,0.810059,0.138184,2.594238
811.32,1.01123,0.025879,2.497559
811.33,1.541504,-0.322266,2.54834
811.34,1.740234,-0.82959,2.185059
811.35,1.255371,-1.054688,1.919434
811.36,0.677734,-0.871094,1.410645
811.37,0.409668,-0.851074,0.887207
811.38,0.360352,-0.94873,0.626465
811.39,0.233887,-0.916992,0.533203
811.4,-0.111328,-0.672363,0.434082
811.41,-0.431641,-0.516602,-0.136719
811.42,-0.445313,-0.254883,-0.42041
811.43,-0.28564787889324544,0.12471687639175039,-0.1557337180031121
811.44,-0.14636585883250686,0.4726975771821714,-0.05911774341331394
811.45,-0.09614339937274574,0.868665035410382,-0.17596461463818866
811.46,-0.2709428137020983,1.0885991855642287,0.07547731557581183
811.47,-0.5581489186788657,0.8334467392252445,0.1328852530659993
811.48,-0.7534647276988602,0.5138241177715032,0.07800453969499349
811.49,-0.8584211892349216,0.31776152805020014,0.4079127850766312
811.5,-1.0694581770304794,0.30467114176517285,1.235355472666443
811.51,-1.9825886297866684,0.11734057438910876,1.645193631969357
811.52,-2.142830211742092,0.14128993389403374,1.4140920129136298
811.53,-2.177324307902947,-0.06635054842800264,1.58553186593321
811.54,-2.349211043107398,-0.5658605786381481,1.8402205142648222
811.55,-1.5819155652049564,-0.9088784724660495,1.878109426960732
811.56,-0.6172121885739823,-0.870996246017631,1.6825882098472624
811.57,0.12125093902945622,-0.7988463272246693,1.3849734927366475
811.58,0.22124180135462956,-0.7797331006865404,1.0602371540258777
811.59,0.5640921450882508,-1.0248107814404699,0.7334257965734152
811.6,0.7615666071721219,-1.0433398100229563,0.5540300953489566
811.61,0.9934594227784774,-0.8785173014745087,0.29696737881157476
811.62,0.9679982970310237,-0.6123521973870667,0.24745752609265256
811.63,0.7262398092352227,-0.41588265994149554,0.16818490166850084
811.64,0.2499550736656056,-0.10293417303202856,0.22822484610864013
811.65,-0.12585401955387626,0.24745643178287213,0.1765553595849581
811.66,-0.2776651588664959,0.7141006515120789,0.19564713618871166
811.67,-0.326172,1.072754,0.180664
811.68,-0.426758,1.081055,0.053711
811.69,-0.409668,0.814941,0.102539
811.7,-0.225098,0.387695,0.114258
811.71,0.06543,-0.06543,0.290527
811.72,0.334473,-0.467773,0.388672
811.73,0.478516,-0.892578,0.498535
811.74,0.261719,-1.123535,0.875488
811.75,0.036621,-0.840332,1.172852
811.76,0.246094,-0.367676,1.914063
811.77,0.73291,-0.222656,3.23584
811.78,1.213867,0.131836,3.108398
811.79,1.583984,0.385742,1.852539
811.8,1.421875,0.211914,1.490234
811.81,1.07959,-0.196777,1.361816
811.82,0.735352,-0.421387,1.507813
811.83,0.336426,-0.444824,1.48877
811.84,-0.037598,-0.384766,1.100098
811.85,-0.387695,-0.362305,0.557129
811.86,-0.769531,-0.394043,0.211914
811.87,-0.905273,-0.438965,0.108398
811.88,-0.79541,-0.418457,-0.01709
811.89,-0.509277,-0.352051,-0.167969
811.9,-0.254883,-0.158691,-0.148926
811.91,-0.137695,0.163574,-0.075684
811.92,-0.104004,0.507813,-0.143555
811.93,-0.194336,0.737305,-0.103027
811.94,-0.343262,0.660645,0.010254
811.95,-0.406738,0.583984,0.132813
811.96,-0.533691,0.623535,0.62207
811.97,-0.822266,0.708984,1.668945
811.98,-1.623535,0.209961,2.116211
811.99,-1.624023,-0.072266,1.82959
812.0,-1.217285,-0.232422,1.883789
812.01,-1.347656,-0.824707,3.133301
812.02,-1.030762,-1.256348,2.779785
812.03,-0.307617,-1.163086,2.390137
812.04,0.20752,-0.94873,1.795898
812.05,0.36377,-0.870605,1.236816
812.06,0.352051,-1.135742,1.005371
812.07,0.369141,-0.962402,0.586426
812.08,0.54541,-0.68457,0.126465
812.09,0.712402,-0.347656,0.080566
812.1,0.583984,-0.117676,0.198242
812.11,0.08305292432449135,0.1858034659200274,0.3367369238999438
812.12,-0.31549326493165053,0.4599016923097574,0.14202446356828763
812.13,-0.47737171051911603,0.7581220087373272,0.2107401543023115
812.14,-0.536897337728143,0.8737398966259178,0.21239184647473552
812.15,-0.543873893888061,0.8403819281829024,0.11516306154552065
812.16,-0.48462768532159506,0.6585544620855801,0.10890747449753446
